year,julian_day,standard_time,leaftemp,GW,leaf_air_temp_diff
2023,214,14,37.7682729035748,0.281608542672322,-2.21916709642525
2023,214,15,38.032049813642,0.25342289385954,-2.65690018635802
2023,214,16,38.1751035169127,0.224167269929969,-2.8057464830873
2023,214,17,37.9176772507358,0.187973711284151,-2.92053274926419
2023,214,18,37.8818254962332,0.108085461734451,-2.04489450376681
2023,214,19,37.5973952467892,0.0453261807478007,-1.28312475321079
2023,214,20,36.8714185753996,1e-05,-1.20273142460045
2023,214,21,32.9034436602574,1e-05,-4.34239633974261
2023,214,22,32.0685006462985,1e-05,-3.59133935370147
2023,214,23,32.9375063010093,1e-05,-2.39259369899066
2023,215,0,33.5627840541497,1e-05,-1.17858594585031
2023,215,1,32.6520246437113,1e-05,-1.18852535628865
2023,215,2,32.1731019446768,1e-05,-1.01899805532322
2023,215,3,31.7208329059106,1e-05,-1.1391170940894
2023,215,4,30.4980119803623,1e-05,-1.83308801963768
2023,215,5,29.9080908920777,1e-05,-1.07195910792232
2023,215,6,29.3479021532563,0.018865838270946,-1.22316784674371
2023,215,7,27.0465803023471,0.11373913207676,-5.31401969765285
2023,215,8,29.6208119479054,0.203159665762869,-3.32630805209461
2023,215,9,31.3881732804273,0.263483508563719,-3.55837671957272
2023,215,10,33.3065677301025,0.305866774852996,-3.05434226989749
2023,215,11,35.6573697371342,0.301147458464456,-2.64184026286583
2023,215,12,36.38456093233,0.29774794416503,-2.63743906767004
2023,215,13,37.7891775386305,0.28024010737939,-2.54188246136953
2023,215,14,37.4705466685805,0.252482513243849,-2.90672333141953
2023,215,15,38.4011301311949,0.250795376344359,-2.7102098688051
2023,215,16,38.3618470137843,0.223804645406892,-3.26226298621567
2023,215,17,38.3972669396744,0.180046411431032,-2.87233306032557
2023,215,18,38.4446513574728,0.102678831069001,-2.5922086425272
2023,215,19,38.5422809579445,1e-05,-1.34029904205554
2023,215,20,37.2252761319797,1e-05,-1.31403386802033
2023,215,21,35.0033237785612,1e-05,-2.42359622143877
2023,215,22,35.317758991504,1e-05,-1.33992100849596
2023,215,23,32.9627964735629,1e-05,-2.4162235264371
2023,216,0,32.6720674246684,1e-05,-1.48709257533161
2023,216,1,21.0391348980359,1e-05,-11.5948651019641
2023,216,2,28.2351530420262,1e-05,-2.15289695797382
2023,216,3,17.3909828163034,1e-05,-11.1284571836966
2023,216,4,15.9133465253443,1e-05,-10.7694734746557
2023,216,5,15.1822530124922,1e-05,-10.5745669875078
2023,216,6,16.7106660782565,1e-05,-10.0945739217435
2023,216,7,26.616744526499,0.132220711156052,-2.68175547350099
2023,216,8,29.9134190328561,0.229211570974328,-2.54890096714395
2023,216,9,32.0132111649307,0.274128211923263,-2.55754883506929
2023,216,10,33.9545498239443,0.291888060376132,-2.86711017605568
2023,216,11,35.4254764833931,0.293367245807209,-2.71398351660694
2023,216,12,36.4228874539924,0.286560943702185,-3.00343254600761
2023,216,13,37.7647258515691,0.271374042000117,-3.26981414843085
2023,216,14,37.7890738004638,0.264951035213316,-3.40357619953622
2023,216,15,38.6993602241371,0.240789465568481,-3.17542977586286
2023,216,16,36.7583177587139,0.232747789300091,-5.34235224128614
2023,216,17,38.6110346036635,0.174244139378649,-3.91653539633648
2023,216,18,37.4155258965049,0.102192979283758,-4.54735410349508
2023,216,19,35.7000134256407,1e-05,-5.28172657435935
2023,216,20,25.3660853320592,1e-05,-12.6026246679408
2023,216,21,24.7665846427453,1e-05,-12.3360253572547
2023,216,22,23.061960450416,1e-05,-12.2743895495841
2023,216,23,36.2459073332798,1e-05,-1.30251266672018
2023,217,0,35.2693300468616,1e-05,-1.02111995313837
2023,217,1,33.827640989485,1e-05,-1.14185901051503
2023,217,2,31.2729514775532,1e-05,-1.49120852244679
2023,217,3,30.8582985865355,1e-05,-1.48648141346453
2023,217,4,26.4528574678012,1e-05,-4.2854225321988
2023,217,5,16.3909750953673,1e-05,-11.0809149046327
2023,217,6,16.1265488184602,1e-05,-10.0609311815398
2023,217,7,27.1115594375433,0.127982849705283,-3.3254305624567
2023,217,8,29.8939792292081,0.230226350590218,-2.33110077079191
2023,217,9,31.9688642251307,0.27354310816635,-2.98519577486935
2023,217,10,33.8002196686378,0.289198107796085,-2.96677033136225
2023,217,11,35.0349552565212,0.294110262405584,-3.10840474347883
2023,217,12,36.6659911325869,0.284852364213265,-3.10139886741309
2023,217,13,38.5340419640442,0.261471139866876,-3.00193803595577
2023,217,14,38.3818861720844,0.255773192792431,-3.94247382791563
2023,217,15,39.6171506809933,0.228726546181694,-3.30343931900669
2023,217,16,40.0577553370463,0.201410433777862,-3.26488466295372
2023,217,17,40.1739637448461,0.161870829162114,-3.07413625515387
2023,217,18,39.7866914835895,0.0938016198942058,-2.60306851641055
2023,217,19,39.5211938862473,0.0377818466006465,-1.8369761137527
2023,217,20,38.4398959420305,1e-05,-1.50364405796952
2023,217,21,35.6913786554481,1e-05,-3.10997134455188
2023,217,22,21.3614594305375,1e-05,-13.1759105694625
2023,217,23,33.4948219652347,1e-05,-2.74986803476527
2023,218,0,34.5638619134493,1e-05,-1.5542880865507
2023,218,1,33.2979077444678,1e-05,-1.3719022555322
2023,218,2,33.4185013874681,1e-05,-1.22886861253193
2023,218,3,33.4850378734213,1e-05,-1.10963212657872
2023,218,4,30.9629715520658,1e-05,-1.3907084479342
2023,218,5,17.1792478020693,1e-05,-12.0609821979307
2023,218,6,15.6038676755499,1e-05,-11.5703123244501
2023,218,7,27.0438045329008,0.126325447930382,-3.26947546709924
2023,218,8,29.4684060939749,0.22588954987324,-3.58589390602506
2023,218,9,31.258555701391,0.27333722736088,-3.85471429860898
2023,218,10,32.6869058312512,0.294282422591729,-3.6073241687488
2023,218,11,33.9939337200555,0.305652040831721,-3.17852627994451
2023,218,12,36.2844347244516,0.293737642785085,-2.43727527554838
