Year,Day,Hour,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,D_kPa,RH_Perc
2023,205,01,0.0,0.25,0.1832,35.65631,4.445924251560214,23.79633
2023,205,02,0.0,0.0,0.1587333,33.94537,3.8343308141212202,27.74533
2023,205,03,0.0,0.0,0.0,32.33801,3.2699310459186615,32.56849
2023,205,04,0.0,0.0,0.1709667,32.42161,3.3254564940539195,31.74603
2023,205,05,0.0,0.25,0.0,32.13239,3.3176422426723406,30.78574
2023,205,06,7.11159737417943,6.57,0.0,31.70535,3.1512083281137606,32.64983
2023,205,07,74.39824945295405,0.25,0.8249,33.65981,3.72124353916384,28.74992
2023,205,08,168.4901531728665,0.25,1.180333,35.41286,4.306220800034065,25.19416
2023,205,09,248.35886214442013,0.0,0.5764333,37.20166,4.865469250473407,23.36929
2023,205,10,315.6455142231947,0.0,1.207633,37.68935,5.045024154383671,22.61901
2023,205,11,367.0678336980306,0.25,1.732333,39.13122,5.5984087381261265,20.55738
2023,205,12,393.3260393873085,6.32,1.346767,40.43063,6.166160616334717,18.36769
2023,205,13,387.308533916849,0.25,1.403867,42.0329,6.896565106773449,16.11151
2023,205,14,361.0503282275711,0.25,0.9207333,42.72633,7.291686871705135,14.47116
2023,205,15,322.2100656455142,0.25,1.913667,43.62305,7.703627492013597,13.76492
2023,205,16,258.20568927789935,0.25,0.8382333,42.96806,7.393898822871835,14.36053
2023,205,17,166.84901531728664,0.0,2.121667,43.82639,7.8306802289995305,13.26306
2023,205,18,22.428884026258203,6.57,1.455,42.19779,7.10995994017193,14.26147
2023,205,19,11.48796498905908,0.25,3.647,39.67791,5.848239779125923,19.40685
2023,205,20,0.0,0.0,3.265667,38.94353,5.712006096591425,18.12431
2023,205,21,0.0,0.25,1.849667,38.85775,5.717713693889068,17.66371
2023,205,22,0.0,0.25,1.201667,38.53541,5.651176042900902,17.19737
2023,205,23,0.0,0.25,0.0,37.62996,5.29776241879461,18.48029
2023,206,00,0.0,6.57,0.0,35.69482,4.5835852484922555,21.60315
2023,206,01,0.0,0.0,1.191,34.77562,4.259104291604946,23.36005
2023,206,02,0.0,0.25,0.9783,34.06855,3.98015285953671,25.51048
2023,206,03,0.0,0.0,1.348333,33.36382,3.6956684490992076,28.05851
2023,206,04,0.0,0.25,0.5573,32.14143,3.2687334839421287,31.84092
2023,206,05,0.0,0.25,1.183,31.91322,3.2223307487690898,31.93582
2023,206,06,8.752735229759299,6.57,0.8614333,31.26022,3.0132961498196855,33.94904
2023,206,07,79.32166301969364,0.25,1.447,33.07912,3.527729555850548,30.22312
