year,julian-day,standard-time,leaftemp,GW,leaf-air-temp-diff
2023,211,22,35.5539441893153,1e-05,-1.17894581068474
2023,211,23,32.2274165578647,1e-05,-0.83315344213527
2023,212,0,30.9621011180108,1e-05,-1.06389888198918
2023,212,1,19.5117404403344,1e-05,-7.41248955966558
2023,212,2,26.8523237082571,1e-05,-0.675196291742925
2023,212,3,26.3125822097679,1e-05,-0.794667790232104
2023,212,4,25.5160308629453,1e-05,-1.35849913705467
2023,212,5,25.1649669489399,1e-05,-1.48813305106009
2023,212,6,25.8646168996296,1e-05,-0.932233100370411
2023,212,7,26.520216052164,0.190052764886678,-1.210713947836
2023,212,8,27.9116448400562,0.324731390526929,-1.54326515994376
2023,212,9,29.4418790893098,0.37673649078447,-1.4948309106902
2023,212,10,30.4783813479039,0.406046962905552,-1.4335186520961
2023,212,11,32.157890229093,0.40599128462015,-1.67454977090697
2023,212,12,32.6886074912777,0.404936092132918,-1.88039250872233
2023,212,13,34.0394099944984,0.384291974492214,-2.14933000550159
2023,212,14,34.1927719187687,0.369704885418608,-2.52983808123125
2023,212,15,34.772631376163,0.341413792090115,-3.07934862383696
2023,212,16,34.8657783377551,0.297234370129546,-3.44246166224493
2023,212,17,35.0989620772808,0.24250761085795,-3.58452792271919
2023,212,18,36.1763455387625,0.100476491736767,-2.15105446123749
2023,212,19,36.7361946244031,1e-05,-1.34191537559694
2023,212,20,35.9406844417232,1e-05,-1.02783555827678
2023,212,21,35.1532141799898,1e-05,-1.14303582001023
2023,212,22,34.7542314993263,1e-05,-0.843458500673727
2023,212,23,29.8266713629475,1e-05,-0.61578863705255
2023,213,0,30.1781251744802,1e-05,-1.20410482551976
2023,213,1,27.4942708901804,1e-05,-0.828599109819603
2023,213,2,27.7769436533971,1e-05,-1.00686634660292
2023,213,3,26.914844125726,1e-05,-0.917705874273985
2023,213,4,26.4393184075847,1e-05,-1.03172159241526
2023,213,5,25.554279029391,1e-05,-1.52586097060902
2023,213,6,24.3062255949711,0.0327852221069173,-2.62478440502891
2023,213,7,26.8504607307847,0.181571281323212,-1.97175926921533
2023,213,8,29.0252384954298,0.308083327664518,-1.59328150457025
2023,213,9,30.131535706064,0.353533017537659,-1.95819429393596
2023,213,10,30.7995755764126,0.375921093870653,-2.45392442358736
2023,213,11,32.8955810552206,0.383537581338704,-2.19780894477939
2023,213,12,34.2873687462582,0.37500143191175,-2.37651125374182
2023,213,13,34.776867530583,0.368709771963387,-2.82439246941704
2023,213,14,34.9644198457308,0.343877331830178,-3.3754101542692
2023,213,15,35.5998774693105,0.316383492551221,-3.44471253068946
2023,213,16,36.493542930298,0.296590849479675,-3.02102706970195
2023,213,17,36.2175542804655,0.239063789503274,-3.13876571953451
2023,213,18,36.3593814286002,0.135132286812022,-2.81945857139977
2023,213,19,36.5941183257587,0.0600709864107469,-1.46719167424132
2023,213,20,35.7766779791538,1e-05,-1.29610202084623
