year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp
2023,210,2,0.0,0.0,1.588333,34.36406,33.410000000000025,3.999666784145828,,,,,0.18650450013720488
2023,210,3,0.0,0.0,0.0,33.26576,32.24000000000001,3.6400512723698215,,,,,0.28724989120972866
2023,210,4,0.0,0.0,1.444333,33.67334,31.200000000000045,3.7397645861790414,,,,,0.40500220457953834
2023,210,5,0.0,0.25,1.1212,33.66659,30.25,3.807888068373228,,,,,0.652575939751733
2023,210,6,2.735229759299781,6.32,0.04046667,32.84637,29.49000000000001,3.4343418822619207,,,,,1.053049992029953
2023,210,7,39.38730853391685,0.0,0.2312,33.62892,29.80000000000001,3.6232069127489903,,,,,1.7407387594269936
2023,210,8,71.1159737417943,0.0,1.436333,33.87532,31.140000000000043,3.659344810901008,,,,,1.7704720920058103
2023,210,9,224.835886214442,0.0,1.240733,36.52166,32.77000000000004,4.612634741891806,,,,,2.010166570923203
2023,210,10,195.84245076586433,0.0,1.588333,36.86354,34.58000000000004,4.799488554879313,,,,,1.7926910139308936
2023,210,11,396.0612691466083,0.0,1.500333,38.65627,36.52000000000004,5.3628237060975685,,,,,2.3976472843185266
2023,210,12,405.3610503282275,6.32,1.004033,40.08135,38.44,5.968265792006372,,,,,2.568945030830472
2023,210,13,390.0437636761488,0.0,1.689667,40.86965,40.21000000000003,6.320534362369039,,,,,2.6760298418152444
2023,210,14,363.2385120350109,0.0,2.143,41.82962,41.75,6.7283596998314925,,,,,3.133218336288925
2023,210,15,311.816192560175,0.0,3.260333,42.6248,42.910000000000025,7.1126324730721,,,,,2.6792852858285077
2023,210,16,243.43544857768052,0.0,2.380333,43.23455,43.60000000000002,7.423708893584371,,,,,2.965447448772037
2023,210,17,164.66083150984682,0.0,1.881667,42.83281,43.78000000000003,7.26459468045953,,,,,2.9714661551347206
2023,210,18,101.75054704595183,6.32,2.236333,43.18567,43.51000000000005,7.4540741417631375,,,,,3.5415498019934737
2023,210,19,28.44638949671772,0.0,2.497667,42.25652,42.860000000000014,7.025766094696939,,,,,3.554025886230994
2023,210,20,0.0,0.0,1.916333,41.13875,41.150000000000034,6.551936361638848,,,,,1.677079140781509
2023,210,21,0.0,0.0,2.241667,40.74883,39.410000000000025,6.412496333059783,,,,,0.4808961541862345
2023,210,22,0.0,0.0,0.4619333,39.48053,37.879999999999995,5.842391566825977,,,,,0.75182740336093
2023,210,23,0.0,0.0,1.204333,38.80293,36.43000000000001,5.569271177487271,,,,,0.5628967736430716
2023,211,0,0.0,6.32,0.6449667,37.88002,35.09000000000003,5.186744886457674,,,,,0.6691786009728683
2023,211,1,0.0,0.0,0.9494333,38.29976,33.900000000000034,5.432862508981211,,,,,0.5111533798947062
2023,211,2,0.0,0.0,0.04046667,37.23193,32.82000000000005,5.042992985862648,,,,,0.4572046709200473
2023,211,3,0.0,0.0,0.1171667,35.48863,31.840000000000032,4.281432580035487,,,,,0.4739579212452379
2023,211,4,0.0,0.0,1.983,35.45539,30.960000000000036,4.298724113469195,,,,,0.33972210865810654
2023,211,5,0.0,0.0,0.1011667,34.56608,30.230000000000015,3.887986451230277,,,,,0.5607386002209764
2023,211,6,6.017505470459518,6.32,0.08093333,34.08577,29.69,3.725832924847984,,,,,1.118862269351227
2023,211,7,36.65207877461707,0.0,1.900333,33.86566,30.090000000000032,3.612914830327011,,,,,1.840787874797093
2023,211,8,86.43326039387308,0.0,1.777667,33.80403,31.450000000000045,3.5132701710665235,,,,,1.4653592657699275
2023,211,9,177.78993435448575,0.0,2.761667,34.66816,33.110000000000014,3.807270346660706,,,,,1.4477309832976577
2023,211,10,331.50984682713346,0.0,2.639,36.23647,34.94,4.283229641047334,,,,,1.8915036640490859
2023,211,11,173.96061269146608,0.0,2.121667,35.93777,36.900000000000034,4.162749791685886,,,,,1.9141447176219453
2023,211,12,274.617067833698,6.32,3.279,36.80402,38.84000000000003,4.614197988754529,,,,,1.922327871213558
2023,211,13,351.75054704595186,0.0,2.401666,37.93555,40.660000000000025,5.041689100729749,,,,,2.049791317291701
2023,211,14,392.2319474835886,0.0,1.823,39.40825,42.33000000000004,5.620393848133264,,,,,2.695588989441824
2023,211,15,263.1291028446389,0.0,0.7069333,40.14016,43.629999999999995,6.020824066725897,,,,,3.0660357140777084
2023,211,16,251.09409190371989,0.0,2.060333,41.06672,44.43000000000001,6.473201943330394,,,,,2.947676109148432
2023,211,17,173.41356673960613,0.0,2.148333,41.86804,44.610000000000014,6.857347005955116,,,,,3.0789992060913436
2023,211,18,96.82713347921224,6.32,1.479,41.47598,44.26000000000005,6.690441219680148,,,,,3.2296198606716016
2023,211,19,9.299781181619256,0.0,1.052333,40.19232,43.46000000000003,6.237131240154038,,,,,2.5063469432622476
2023,211,20,0.0,0.0,0.0,38.79472,41.610000000000014,5.651803397062154,,,,,1.095511042593564
2023,211,21,0.0,0.0,1.151167,37.41275,39.76000000000005,5.067308558863286,,,,,0.5995438080555695
2023,211,22,0.0,0.0,1.767,36.73289,38.14000000000004,4.825156851980004,,,,,0.40927103217522776
2023,211,23,0.0,0.0,3.031,33.06057,36.69,3.399621165552608,,,,,0.1745788583356452
2023,212,0,0.0,6.32,1.545667,32.026,35.410000000000025,3.040998325625811,,,,,0.19761072845369554
2023,212,1,0.0,0.51,0.0,26.92423,34.34000000000003,1.0763018668486306,,,,,0.22459840703897418
2023,212,2,0.0,0.0,2.759,27.52752,33.24000000000001,1.4377009004890633,,,,,0.49149714591688726
2023,212,3,0.0,0.0,1.884333,27.10725,32.24000000000001,1.3992526627498638,,,,,0.17972200755611492
2023,212,4,0.0,0.0,0.8840333,26.87453,31.350000000000023,1.33522445983989,,,,,0.21188309145480283
2023,212,5,0.0,0.0,0.6776,26.6531,30.460000000000036,1.3160509879308688,,,,,0.1838326533683407
2023,212,6,7.11159737417943,6.32,1.287,26.79685,29.700000000000045,1.3919312370166377,,,,,0.31444837060760567
2023,212,7,77.13347921225382,0.0,1.281667,27.73093,29.970000000000027,1.5390008590555733,,,,,1.6475874618497328
2023,212,8,166.3019693654267,0.0,1.001367,29.45491,31.110000000000017,2.0070047504397435,,,,,2.2362133171949394
2023,212,9,251.09409190371989,0.0,1.497667,30.93671,32.49000000000001,2.521294265961947,,,,,2.0618930083245783
2023,212,10,322.75711159737415,0.0,1.196333,31.9119,33.79000000000002,2.80738053629956,,,,,2.090071769102678
2023,212,11,373.0853391684901,0.0,1.336733,33.83244,35.44,3.4194911040213336,,,,,2.363102362949558
2023,212,12,397.7024070021882,6.32,0.9703,34.569,37.200000000000045,3.698799873774653,,,,,2.2095707225109993
2023,212,13,394.9671772428884,0.0,1.777667,36.18874,38.860000000000014,4.320214856658798,,,,,2.4714570601165615
2023,212,14,365.9737417943107,0.0,1.532333,36.72261,40.43000000000001,4.56585752660327,,,,,2.8696215391193625
2023,212,15,312.36323851203497,0.0,1.398533,37.85198,41.620000000000005,4.978548393224743,,,,,3.4230870570290803
2023,212,16,227.0240700218818,0.0,1.274767,38.30824,42.26000000000005,5.0708852616862945,,,,,3.020506763957186
2023,212,17,164.11378555798686,0.0,1.2434,38.68349,42.26000000000005,5.329830705503241,,,,,3.4019406226446716
2023,212,18,65.64551422319474,6.32,1.967,38.3274,41.80000000000001,5.250402015763052,,,,,2.4327596355670775
2023,212,19,18.052516411378555,0.0,2.015,38.07811,40.99000000000001,5.280618831573557,,,,,2.3532465753601857
2023,212,20,0.0,0.0,2.593667,36.96852,39.450000000000045,4.986812486975788,,,,,0.778879180475239
2023,212,21,0.0,0.0,1.868333,36.29625,37.83000000000004,4.671672246392616,,,,,0.3277193921634789
2023,212,22,0.0,0.0,3.588333,35.59769,36.420000000000016,4.354498002653095,,,,,0.2856571371417136
2023,212,23,0.0,0.0,4.839,30.44246,35.210000000000036,2.486421567526991,,,,,0.15835087622113103
2023,213,0,0.0,6.32,1.1921,31.38223,34.18000000000001,3.015791719976411,,,,,0.3725400798721
2023,213,1,0.0,0.0,2.135,28.32287,33.27000000000004,1.9373347769661111,,,,,0.12991450179936692
2023,213,2,0.0,0.0,1.372333,28.78381,32.34000000000003,2.0615747103005786,,,,,0.24314490421237409
2023,213,3,0.0,0.0,1.516333,27.83255,31.44,1.7130642944905232,,,,,0.26314339141320636
