"TIMESTAMP","RECORD","DateTime(1)","DateTime(9)","DateTime(4)","DateTime(5)","Target","BattVolt_Avg","Pnl_Tmp_Avg","WindSpeed_Avg","AirT_Avg","AirRH_Avg","mV_tpile_Avg(1)","mV_tpile_Avg(2)","TbodyC_Avg(1)","TbodyC_Avg(2)","TtarRC_Avg","TtarHC_Avg","TadjH_Avg","T_Diffrns_Avg","PID_out_Avg","PID_lmt_Avg","ScldOut_Avg","TrelayBox_Avg"
"2023-09-09 19:30:00",14812,2023,252,19,30,3,12.96332,38.05859,1.407,39.78347,11.97697,-0.5766641,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.26067
"2023-09-09 19:35:00",14813,2023,252,19,35,3,12.96269,37.89117,1.700333,39.86991,11.7524,-0.9160458,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.26336
"2023-09-09 19:40:00",14814,2023,252,19,40,3,12.96303,37.76775,1.255,39.82684,11.72858,-1.345215,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.28886
"2023-09-09 19:45:00",14815,2023,252,19,45,3,12.96307,37.64733,1.695,39.84853,11.58144,-1.647389,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.20027
"2023-09-09 19:50:00",14816,2023,252,19,50,3,12.96284,37.55658,1.956333,40.02335,11.51619,-1.847158,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.27984
"2023-09-09 19:55:00",14817,2023,252,19,55,3,12.96146,37.5022,1.561667,39.9539,11.72806,-2.040834,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.34259
"2023-09-09 20:00:00",14818,2023,252,20,0,3,12.96107,37.46357,1.169667,39.71317,12.00393,-2.250094,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",37.24004
"2023-09-09 20:05:00",14819,2023,252,20,5,3,12.95925,37.38284,0.6111,39.47382,12.45934,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",36.98348
"2023-09-09 20:10:00",14820,2023,252,20,10,3,12.95944,37.26513,0.09426667,38.94636,13.63736,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",36.5138
"2023-09-09 20:15:00",14821,2023,252,20,15,3,12.95771,37.07581,0.8205,38.1902,15.04585,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",36.05204
"2023-09-09 20:20:00",14822,2023,252,20,20,3,12.95612,36.84717,0.7949333,37.87093,15.39864,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",35.72679
"2023-09-09 20:25:00",14823,2023,252,20,25,3,12.95512,36.62305,0.0229,37.63551,15.89452,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",35.46473
"2023-09-09 20:30:00",14824,2023,252,20,30,3,12.95323,36.36889,0.5764333,37.34379,16.19636,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",35.08695
"2023-09-09 20:35:00",14825,2023,252,20,35,3,12.95305,36.1078,0.1934,37.07039,16.36069,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.80909
"2023-09-09 20:40:00",14826,2023,252,20,40,3,12.9518,35.80016,0.8609666,37.27501,14.76477,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.60772
"2023-09-09 20:45:00",14827,2023,252,20,45,3,12.95089,35.58327,0.6724333,37.60267,14.27433,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.70086
"2023-09-09 20:50:00",14828,2023,252,20,50,3,12.94902,35.4307,0.8600333,37.81139,14.13701,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.83707
"2023-09-09 20:55:00",14829,2023,252,20,55,3,12.94809,35.31194,0.03513334,37.55828,14.62311,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.7021
"2023-09-09 21:00:00",14830,2023,252,21,0,3,12.94736,35.17059,0.01756667,37.18769,15.03138,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.43739
"2023-09-09 21:05:00",14831,2023,252,21,5,3,12.94659,35.00189,0.05803334,36.93447,14.98298,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",34.19879
"2023-09-09 21:10:00",14832,2023,252,21,10,3,12.94467,34.81558,0.4348,36.84016,14.93187,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.98
"2023-09-09 21:15:00",14833,2023,252,21,15,3,12.94463,34.65088,0.5508667,36.92688,14.73867,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.94907
"2023-09-09 21:20:00",14834,2023,252,21,20,3,12.94297,34.51133,0.1656333,36.8015,14.99925,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.86831
"2023-09-09 21:25:00",14835,2023,252,21,25,3,12.94319,34.37691,0.1752,36.55201,15.23077,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.73371
"2023-09-09 21:30:00",14836,2023,252,21,30,3,12.94314,34.22456,0.4555,36.42855,15.27684,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.58115
"2023-09-09 21:35:00",14837,2023,252,21,35,3,12.94304,34.09526,0.2109667,36.3658,15.3463,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.45167
