population,elevation,genotype,Replicate #,am.pm,date,treatment,rh (%),Tair (oC),Tleaf (oC),vpd (kPa),gsw.(mol m-2 s-1),gsw.(mmol m-2 s-1),E.(mmol m-2 s-1),E (mol m-2 s-1),E (g m-2 s-1),E (kg m-2 s-1),E (kg m-2 hr-1),Total leaf area (m2),Al:Ab (m2 cm-2),Al:Ab (m2 m-2),Ypd (MPa),Ymd (MPa),Delta Y (MPa),K (Kg hr-1 MPa-1 m-2) ,K (Kg hr-1 MPa-1 m-2) per BA,K (mmol s-1 MPa-1 m-2) per LA,K (mmol s-1 MPa-1 m-2) per BA
TSZ-SAN,1212,3,31,pm,8/10/23,predrought,21.34,43.14,38.71,5.03,0.18,180,8.33,0.008,0.150,0.000150,0.540,6.14,1.8,18000,-0.44,-2.16,1.72,0.314,5648.902,4.838915554,87100.47997
TSZ-SAN,1212,4,32,pm,8/9/23,predrought,20.29,43.24,37.63,4.72,0.17,170,7.59,0.008,0.137,0.000137,0.492,6.68,1.44,14400,-0.4,-1.92,1.52,0.324,4659.461,4.989185788,71844.27535
TSZ-SAN,1212,4,33,pm,8/10/23,predrought,19.4,43.23,37.42,4.73,0.21,210,9.19,0.009,0.165,0.000165,0.596,14.08,4.13,41300,-0.37,-1.79,1.42,0.419,17320.173,6.46634178,267059.9155
TSZ-SAN,1212,4,34,pm,8/9/23,predrought,18.67,44.13,37.45,4.72,0.23,230,10.02,0.010,0.180,0.000180,0.649,4.71,1.38,13800,-0.74,-2.59,1.85,0.351,4843.397,5.41162235,74680.38843
TSZ-SAN,1212,7,36,pm,8/9/23,predrought,18.88,43.96,40.15,5.73,0.11,110,5.82,0.006,0.105,0.000105,0.377,6.11,0.97,9700,-0.39,-2.15,1.76,0.214,2078.534,3.304013442,32048.93038
TSZ-SAN,1212,7,37,pm,8/9/23,predrought,18.86,44.08,39.49,5.47,0.13,130,6.65,0.007,0.120,0.000120,0.431,3.68,0.9,9000,-0.51,-2.31,1.8,0.239,2154.600,3.691310932,33221.79838
TSZ-SAN,1212,7,83,pm,8/9/23,predrought,20.61,43.73,39.77,5.45,0.17,170,8.57,0.009,0.154,0.000154,0.555,7.91,2.14,21400,-0.43,-2.98,2.55,0.218,4660.467,3.357933801,71859.78334
TSZ-SAN,1212,8,38,pm,8/9/23,predrought,20.11,43.55,36.87,4.44,0.33,330,13.84,0.014,0.249,0.000249,0.897,13.38,3.28,32800,-0.58,-2.47,1.89,0.475,15564.069,7.316540393,239982.5249
TSZ-SAN,1212,8,39,pm,8/10/23,predrought,19.85,43.19,35.75,4.13,0.24,240,9.29,0.009,0.167,0.000167,0.602,3.71,1.36,13600,-0.48,-2.28,1.8,0.334,4548.384,5.156733617,70131.57719
TSZ-SAN,1212,8,40,pm,8/10/23,predrought,22,43.02,37.22,4.45,0.21,210,8.8,0.009,0.158,0.000158,0.570,4.62,1.66,16600,-0.6,-3.11,2.51,0.227,3771.308,3.503002436,58149.84043
TSZ-SAN,1212,10,21,pm,8/9/23,predrought,18.85,44.05,39.14,5.33,0.16,160,8,0.008,0.144,0.000144,0.518,4.78,1.38,13800,-0.44,-2.76,2.32,0.223,3083.586,3.445351142,47545.84576
TSZ-SAN,1212,10,41,pm,8/10/23,predrought,20,43.14,36.63,4.41,0.18,180,7.46,0.007,0.134,0.000134,0.483,15.53,3.35,33500,-0.65,-2.09,1.44,0.336,11245.950,5.17616157,173401.4126
TSZ-SAN,1212,10,42,pm,8/10/23,predrought,19.53,43.13,36.38,4.37,0.24,240,9.94,0.010,0.179,0.000179,0.644,14.52,3.06,30600,-0.51,-2.25,1.74,0.370,11327.487,5.707798392,174658.6308
CCR-COL,72,156,43,am,8/17/23,predrought,33.15,35.95,32.65,2.98,0.26,260,7.41,0.007,0.133,0.000133,0.480,18.53,3.87,38700,-0.36,-1.89,1.53,0.314,12145.426,4.839029457,187270.44
CCR-COL,72,156,44,am,8/16/23,predrought,32.33,37.69,32.87,2.89,0.39,390,10.66,0.011,0.192,0.000192,0.691,5.08,1.59,15900,-0.88,-1.81,0.93,0.743,11809.905,11.45264357,182097.0328
CCR-COL,72,156,45,am,8/17/23,predrought,30.24,37.18,32.67,3.02,0.28,280,8.07,0.008,0.145,0.000145,0.523,13.38,3.64,36400,-0.83,-2.33,1.5,0.349,12689.914,5.375436851,195665.9014
CCR-COL,72,149,46,am,8/17/23,predrought,33.26,36.27,32.39,2.86,0.38,380,10.4,0.010,0.187,0.000187,0.674,10.99,2.05,20500,-0.61,-1.66,1.05,0.642,13157.486,9.896360994,202875.4004
CCR-COL,72,149,47,am,8/16/23,predrought,47.13,32.57,29.99,1.93,0.38,380,7,0.007,0.126,0.000126,0.454,10.98,2.51,25100,-0.75,-2.13,1.38,0.329,8250.261,5.068161462,127210.8527
CCR-COL,72,149,48,am,8/16/23,predrought,40.59,35.51,32.54,2.56,0.37,370,8.95,0.009,0.161,0.000161,0.580,17.25,2.85,28500,-0.81,-2.18,1.37,0.423,12064.861,6.527305758,186028.2141
CCR-COL,72,152,49,am,8/17/23,predrought,36.22,33.96,29.92,2.31,0.34,340,7.21,0.007,0.130,0.000130,0.467,16.68,2.78,27800,-0.78,-1.66,0.88,0.531,14759.525,8.186232616,227577.2667
CCR-COL,72,152,50,am,8/16/23,predrought,44.3,34.53,30.79,2.01,0.24,240,4.5,0.005,0.081,0.000081,0.292,29.47,3.96,39600,-0.32,-1.74,1.42,0.205,8131.944,3.166326225,125386.5185
CCR-COL,72,152,51,am,8/16/23,predrought,31.86,37.85,32.25,2.73,0.49,490,12.81,0.013,0.231,0.000231,0.830,11.56,1.91,19100,-0.37,-1.51,1.14,0.728,13907.615,11.22731137,214441.6471
CCR-COL,72,155,58,am,8/16/23,predrought,48.61,32.26,29.94,1.88,0.22,220,3.89,0.004,0.070,0.000070,0.252,25.14,4.53,45300,-0.47,-1.91,1.44,0.175,7929.765,2.699097655,122269.1238
CCR-COL,72,155,59,am,8/17/23,predrought,35.88,34.46,31.45,2.65,0.21,210,5.3,0.005,0.095,0.000095,0.343,16.94,3.17,31700,-0.54,-1.73,1.19,0.289,9148.780,4.450003954,141065.1253
CCR-COL,72,155,60,am,8/16/23,predrought,48.17,33.15,30.83,2.01,0.19,190,3.62,0.004,0.065,0.000065,0.235,22.24,4.22,42200,-0.34,-1.87,1.53,0.153,6470.005,2.364006293,99761.06557
CCR-COL,72,5,61,am,8/16/23,predrought,38.51,36.09,32.34,2.55,0.26,260,6.13,0.006,0.110,0.000110,0.397,5.59,1.83,18300,-0.69,-2.01,1.32,0.301,5506.969,4.640000549,84912.01005
CCR-COL,72,5,63,am,8/17/23,predrought,35.3,34.15,30.09,2.38,0.26,260,5.74,0.006,0.103,0.000103,0.372,13.53,2.78,27800,-0.57,-1.91,1.34,0.278,7716.616,4.279948888,118982.5791
CCR-COL,72,5,85,am,8/16/23,predrought,46.05,33.42,30.28,1.94,0.27,270,5.02,0.005,0.090,0.000090,0.325,8.26,2.33,23300,-0.49,-2.06,1.57,0.207,4827.641,3.19474025,74437.44782
JLA-JAK,1521,153,69,am,8/16/23,predrought,40.41,35.78,32.78,2.6,0.33,330,8.11,0.008,0.146,0.000146,0.526,1.89,0.42,4200,-0.62,-2.1,1.48,0.355,1491.363,5.475081993,22995.34437
JLA-JAK,1521,153,76,am,8/16/23,predrought,42.44,34.91,33.63,2.86,0.2,200,5.06,0.005,0.091,0.000091,0.328,1.63,0.4,4000,-0.51,-1.72,1.21,0.271,1083.927,4.178271294,16713.08517
JLA-JAK,1521,153,90,am,8/17/23,predrought,31.24,36.7,33.83,3.37,0.23,230,6.74,0.007,0.121,0.000121,0.437,3.81,0.53,5300,-0.67,-2,1.33,0.328,1740.440,5.063370934,26835.86595
JLA-JAK,1521,155,62,am,8/17/23,predrought,33.07,35.52,31.24,2.64,0.33,330,8.3,0.008,0.149,0.000149,0.538,1.17,0.44,4400,-0.48,-2.03,1.55,0.347,1526.772,5.350296902,23541.30637
JLA-JAK,1521,155,64,am,8/17/23,predrought,36.35,33.23,30.81,2.6,0.19,190,4.63,0.005,0.083,0.000083,0.300,1.37,0.45,4500,-0.42,-1.81,1.39,0.216,971.301,3.328110056,14976.49525
JLA-JAK,1521,155,66,am,8/16/23,predrought,31.68,37.24,33.14,3.07,0.26,260,7.28,0.007,0.131,0.000131,0.472,3.21,0.68,6800,-0.55,-1.7,1.15,0.410,2789.443,6.325065505,43010.44543
JLA-JAK,1521,156,71,am,8/17/23,predrought,33.36,35.63,32.52,2.96,0.23,230,6.29,0.006,0.113,0.000113,0.408,3.35,0.65,6500,-0.5,-1.97,1.47,0.277,1802.278,4.275282325,27789.33511
JLA-JAK,1521,156,74,am,8/16/23,predrought,43.37,34.41,32.47,2.53,0.13,130,2.91,0.003,0.052,0.000052,0.189,2.92,0.64,6400,-0.28,-1.85,1.57,0.120,768.685,1.851931101,11852.35905
JLA-JAK,1521,156,75,am,8/16/23,predrought,33.4,37.02,33.89,3.2,0.24,240,7.14,0.007,0.129,0.000129,0.463,2.78,0.58,5800,-0.43,-2.12,1.69,0.274,1587.868,4.221268683,24483.35836
JLA-JAK,1521,157,67,am,8/16/23,predrought,44.73,34.1,31.7,2.28,0.3,300,6.47,0.006,0.116,0.000116,0.419,2.46,0.65,6500,-0.82,-2.57,1.75,0.240,1557.237,3.694007056,24011.04586
JLA-JAK,1521,157,68,am,8/16/23,predrought,46.36,32.85,30.63,2.09,0.24,240,4.7,0.005,0.085,0.000085,0.305,2.9,0.85,8500,-1.1,-2.12,1.02,0.299,2538.000,4.603934908,39133.44672
JLA-JAK,1521,157,72,am,8/17/23,predrought,34.32,34.82,31.65,2.76,0.26,260,6.73,0.007,0.121,0.000121,0.436,1.89,1.52,15200,-1.18,-2.16,0.98,0.445,6764.062,6.861522269,104295.1385
JLA-JAK,1521,158,70,am,8/16/23,predrought,31.5,37.97,34.15,3.28,0.22,220,6.92,0.007,0.125,0.000125,0.448,1.25,0.24,2400,-0.43,-1.88,1.45,0.309,742.206,4.76836598,11444.07835
JLA-JAK,1521,158,73,am,8/16/23,predrought,43.61,34.55,32.42,2.48,0.13,130,2.95,0.003,0.053,0.000053,0.191,1.75,0.39,3900,-0.48,-1.98,1.5,0.127,497.016,1.964998601,7663.494545
JLA-JAK,1521,158,81,am,8/16/23,predrought,28.85,38.32,34.36,3.49,0.22,220,7.28,0.007,0.131,0.000131,0.472,0.53,0.2,2000,-0.52,-2.28,1.76,0.268,536.073,4.132855301,8265.710603
NRV-NEW,666,101,1,am,8/17/23,predrought,32.02,36.96,31.59,2.64,0.32,320,7.98,0.008,0.144,0.000144,0.517,5.47,1.21,12100,-0.39,-2.24,1.85,0.280,3382.140,4.309854926,52149.2446
NRV-NEW,666,101,2,am,8/17/23,predrought,30.15,37.37,32.63,3,0.27,270,7.66,0.008,0.138,0.000138,0.496,6.42,1.41,14100,-0.99,-1.8,0.81,0.613,8640.480,9.448769168,133227.6453
NRV-NEW,666,101,3,am,8/17/23,predrought,32.08,36.83,32.28,2.84,0.38,380,10.24,0.010,0.184,0.000184,0.664,5.07,1.03,10300,-0.73,-2.48,1.75,0.379,3905.477,5.846465572,60218.59539
NRV-NEW,666,105,7,am,8/17/23,predrought,33.61,35.77,32,2.79,0.4,400,10.52,0.011,0.189,0.000189,0.682,3.34,0.91,9100,-0.59,-1.85,1.26,0.541,4923.360,8.342124812,75913.33579
NRV-NEW,666,105,8,am,8/17/23,predrought,33.4,35.13,31.71,2.79,0.22,220,5.6,0.006,0.101,0.000101,0.363,2.64,0.69,6900,-0.52,-1.77,1.25,0.290,2003.098,4.476200203,30885.7814
NRV-NEW,666,105,9,am,8/16/23,predrought,43.55,34.35,30.65,2.05,0.31,310,5.92,0.006,0.107,0.000107,0.384,5.01,1.09,10900,-0.51,-1.81,1.3,0.295,3216.473,4.549983723,49594.82258
NRV-NEW,666,118,10,am,8/16/23,predrought,29.28,38.2,33.77,3.29,0.3,300,9.12,0.009,0.164,0.000164,0.591,3.56,1.00,10000,-0.42,-1.82,1.4,0.422,4221.257,6.5087605,65087.605
NRV-NEW,666,118,11,am,8/16/23,predrought,42.46,34.41,31.33,2.27,0.12,120,2.58,0.003,0.046,0.000046,0.167,3.32,0.91,9100,-0.39,-1.94,1.55,0.108,981.532,1.663104338,15134.24948
NRV-NEW,666,118,12,am,8/17/23,predrought,32.71,36.23,33.01,3.07,0.23,230,6.48,0.006,0.117,0.000117,0.420,1.61,0.5,5000,-0.35,-1.97,1.62,0.259,1296.000,3.996607324,19983.03662
NRV-NEW,666,122,16,am,8/16/23,predrought,40.87,35.28,32.28,2.5,0.28,280,6.64,0.007,0.120,0.000120,0.430,7.05,2.21,22100,-0.42,-1.35,0.93,0.463,10224.743,7.133729203,157655.4154
NRV-NEW,666,122,17,am,8/16/23,predrought,34.68,36.81,32.5,2.75,0.29,290,7.56,0.008,0.136,0.000136,0.490,4.82,1.19,11900,-0.66,-1.39,0.73,0.671,7985.845,10.34738061,123133.8292
NRV-NEW,666,122,18,am,8/17/23,predrought,29.99,37.37,33.78,3.34,0.31,310,9.83,0.010,0.177,0.000177,0.637,7.37,1.96,19600,-0.75,-1.96,1.21,0.526,10318.088,8.117076446,159094.6983
NRV-NEW,666,123,19,am,8/17/23,predrought,37.15,32.79,29.12,2.19,0.37,370,7.55,0.008,0.136,0.000136,0.489,6.06,1.55,15500,-0.55,-1.89,1.34,0.365,5659.119,5.629549496,87258.01719
NRV-NEW,666,123,20,am,8/17/23,predrought,36.39,33.62,30.28,2.42,0.36,360,8.05,0.008,0.145,0.000145,0.522,5.82,2.02,20200,-1.38,-2.11,0.73,0.715,14434.422,11.01804417,222564.4921
NRV-NEW,666,123,22,am,8/17/23,predrought,33.14,37.11,32.17,2.71,0.44,440,11.25,0.011,0.203,0.000203,0.729,4.78,1.58,15800,-0.69,-2.1,1.41,0.517,8168.936,7.971956099,125956.9064
TSZ-SAN,1212,3,29,am,8/17/23,predrought,32.74,36.31,33.82,3.29,0.16,160,5.03,0.005,0.091,0.000091,0.326,8.68,2.32,23200,-0.56,-1.69,1.13,0.288,6691.948,4.447551956,103183.2054
TSZ-SAN,1212,3,30,am,8/17/23,predrought,32.81,36.52,32.57,2.91,0.19,190,5.18,0.005,0.093,0.000093,0.336,7.00,2.43,24300,-0.51,-2.15,1.64,0.205,4973.558,3.155857613,76687.33999
TSZ-SAN,1212,3,31,am,8/16/23,predrought,43.93,34.62,30.92,2.06,0.24,240,4.63,0.005,0.083,0.000083,0.300,6.14,1.8,18000,-0.52,-1.94,1.42,0.211,3803.121,3.257797872,58640.36169
TSZ-SAN,1212,4,32,am,8/17/23,predrought,31.58,36.46,33.57,3.27,0.21,210,6.31,0.006,0.114,0.000114,0.409,6.68,1.44,14400,-0.49,-1.91,1.42,0.288,4146.470,4.439892996,63934.45914
TSZ-SAN,1212,4,33,am,8/16/23,predrought,37.43,36.55,33.03,2.75,0.36,360,9.23,0.009,0.166,0.000166,0.598,14.08,4.13,41300,-0.59,-1.76,1.17,0.511,21112.560,7.882197779,325534.7683
TSZ-SAN,1212,4,34,am,8/17/23,predrought,32.08,36.73,31.57,2.66,0.34,340,8.43,0.008,0.152,0.000152,0.546,4.71,1.38,13800,-1.02,-2.46,1.44,0.379,5235.030,5.849201345,80718.97856
TSZ-SAN,1212,7,36,am,8/17/23,predrought,32.62,36.38,31.71,2.7,0.25,250,6.31,0.006,0.114,0.000114,0.409,6.11,0.97,9700,-0.52,-1.86,1.34,0.305,2959.861,4.704961235,45638.12398
TSZ-SAN,1212,7,37,am,8/17/23,predrought,31.96,37.19,31.65,2.64,0.38,380,9.53,0.010,0.172,0.000172,0.618,3.68,0.9,9000,-0.62,-2.46,1.84,0.336,3020.596,5.174954864,46574.59378
TSZ-SAN,1212,7,83,am,8/17/23,predrought,33.22,36.12,31.93,2.75,0.32,320,8.27,0.008,0.149,0.000149,0.536,7.91,2.14,21400,-0.34,-2.38,2.04,0.263,5621.654,4.050483158,86680.33959
TSZ-SAN,1212,8,38,am,8/17/23,predrought,33.31,35.36,31.33,2.67,0.32,320,8.05,0.008,0.145,0.000145,0.522,13.38,3.28,32800,-0.57,-1.86,1.29,0.404,13263.405,6.235017241,204508.5655
TSZ-SAN,1212,8,39,am,8/16/23,predrought,29,38.47,33.79,3.29,0.34,340,10.57,0.011,0.190,0.000190,0.685,3.71,1.36,13600,-0.27,-2.15,1.88,0.364,4954.856,5.617571731,76398.97555
TSZ-SAN,1212,8,40,am,8/16/23,predrought,44.69,34.54,31.12,2.08,0.28,280,5.39,0.005,0.097,0.000097,0.349,4.62,1.66,16600,-0.48,-2.1,1.62,0.216,3578.960,3.3243385,55184.0191
TSZ-SAN,1212,10,21,am,8/17/23,predrought,33.64,37.15,33.08,2.93,0.31,310,8.37,0.008,0.151,0.000151,0.542,4.78,1.38,13800,-0.41,-2.03,1.62,0.335,4620.240,5.162284461,71239.52556
TSZ-SAN,1212,10,41,am,8/16/23,predrought,33.07,37.43,33.43,3.03,0.31,310,8.93,0.009,0.161,0.000161,0.579,15.53,3.35,33500,-0.51,-1.8,1.29,0.449,15027.321,6.916609187,231706.4078
TSZ-SAN,1212,10,42,am,8/16/23,predrought,37.83,36.31,32.98,2.74,0.3,300,7.74,0.008,0.139,0.000139,0.502,14.52,3.06,30600,-0.78,-2.06,1.28,0.392,11990.228,6.041746229,184877.4346
CCR-COL,72,156,43,pm,8/17/23,predrought,14.8,46.71,42.36,6.81,0.06,60,3.99,0.004,0.072,0.000072,0.259,18.53,3.87,38700,-0.36,-1.89,1.53,0.169,6539.845,2.605631246,100837.9292
CCR-COL,72,156,44,pm,8/16/23,predrought,15.87,46.1,41.5,6.38,0.11,110,6.41,0.006,0.115,0.000115,0.415,5.08,1.59,15900,-0.88,-1.81,0.93,0.447,7101.453,6.886627137,109497.3715
CCR-COL,72,156,45,pm,8/17/23,predrought,14.35,47.07,41.63,6.53,0.13,130,7.48,0.007,0.135,0.000135,0.485,13.38,3.64,36400,-0.83,-2.33,1.5,0.323,11762.150,4.982437131,181360.7116
CCR-COL,72,149,46,pm,8/17/23,predrought,14.77,46.61,41.38,6.4,0.1,100,5.87,0.006,0.106,0.000106,0.380,10.99,2.05,20500,-0.61,-1.66,1.05,0.362,7426.389,5.585734523,114507.5577
CCR-COL,72,149,47,pm,8/16/23,predrought,17.3,45.08,40.08,5.75,0.17,170,8.93,0.009,0.161,0.000161,0.579,10.98,2.51,25100,-0.75,-2.13,1.38,0.419,10524.976,6.46552598,162284.7021
CCR-COL,72,149,48,pm,8/16/23,predrought,16.97,46.26,41.04,6.07,0.19,190,10.65,0.011,0.192,0.000192,0.690,17.25,2.85,28500,-0.81,-2.18,1.37,0.504,14356.511,7.767129198,221363.1821
CCR-COL,72,152,49,pm,8/17/23,predrought,15.64,45.75,39.08,5.47,0.18,180,9.25,0.009,0.167,0.000167,0.599,16.68,2.78,27800,-0.78,-1.66,0.88,0.681,18935.591,10.50244822,291968.0606
CCR-COL,72,152,50,pm,8/16/23,predrought,18.17,45.46,38.37,4.98,0.35,350,16.16,0.016,0.291,0.000291,1.047,29.47,3.96,39600,-0.32,-1.74,1.42,0.737,29202.713,11.37062929,450276.9199
CCR-COL,72,152,51,pm,8/16/23,predrought,16.09,46.2,39.26,5.49,0.27,270,13.17,0.013,0.237,0.000237,0.853,11.56,1.91,19100,-0.37,-1.51,1.14,0.749,14298.461,11.542833,220468.1102
CCR-COL,72,155,58,pm,8/16/23,predrought,18.37,45.23,40.65,5.86,0.16,160,8.71,0.009,0.157,0.000157,0.564,25.14,4.53,45300,-0.47,-1.91,1.44,0.392,17755.335,6.043480867,273769.6833
CCR-COL,72,155,59,pm,8/17/23,predrought,15.35,46.39,44.42,7.72,0.05,50,3.91,0.004,0.070,0.000070,0.253,16.94,3.17,31700,-0.54,-1.73,1.19,0.213,6749.383,3.282927445,104068.8
CCR-COL,72,155,60,pm,8/16/23,predrought,18.49,44.63,40.52,5.85,0.12,120,6.59,0.007,0.119,0.000119,0.427,22.24,4.22,42200,-0.34,-1.87,1.53,0.279,11778.268,4.303536318,181609.2326
CCR-COL,72,5,61,pm,8/16/23,predrought,17.71,46.05,41.64,6.26,0.09,90,4.96,0.005,0.089,0.000089,0.321,5.59,1.83,18300,-0.69,-2.01,1.32,0.243,4455.884,3.754388699,68705.31319
CCR-COL,72,5,63,pm,8/17/23,predrought,15.28,45.96,41.08,6.27,0.1,100,6.07,0.006,0.109,0.000109,0.393,13.53,2.78,27800,-0.57,-1.91,1.34,0.294,8160.254,4.526008668,125823.041
CCR-COL,72,5,85,pm,8/16/23,predrought,19.19,44.32,41.23,6.11,0.1,100,5.76,0.006,0.104,0.000104,0.373,8.26,2.33,23300,-0.49,-2.06,1.57,0.238,5539.286,3.665678056,85410.29869
JLA-JAK,1521,153,69,pm,8/16/23,predrought,17.12,46.15,40.68,5.91,0.18,180,9.66,0.010,0.174,0.000174,0.626,1.89,0.42,4200,-0.62,-2.1,1.48,0.423,1776.396,6.521491006,27390.26222
JLA-JAK,1521,153,76,pm,8/16/23,predrought,15.99,46.28,42.71,6.88,0.08,80,5.24,0.005,0.094,0.000094,0.340,1.63,0.4,4000,-0.51,-1.72,1.21,0.281,1122.486,4.32690545,17307.6218
JLA-JAK,1521,153,90,pm,8/17/23,predrought,14.26,46.81,43.6,7.46,0.08,80,5.5,0.006,0.099,0.000099,0.356,3.81,0.53,5300,-0.67,-2,1.33,0.268,1420.241,4.131830881,21898.70367
JLA-JAK,1521,155,62,pm,8/17/23,predrought,14.55,46.77,41.58,6.5,0.18,180,11.1,0.011,0.200,0.000200,0.719,1.17,0.44,4400,-0.48,-2.03,1.55,0.464,2041.827,7.155216339,31482.95189
JLA-JAK,1521,155,64,pm,8/17/23,predrought,17.92,45.08,39.78,5.57,0.18,180,9.35,0.009,0.168,0.000168,0.606,1.37,0.45,4500,-0.42,-1.81,1.39,0.436,1961.482,6.720913396,30244.11028
JLA-JAK,1521,155,66,pm,8/16/23,predrought,15.76,46.43,42.46,6.79,0.08,80,4.95,0.005,0.089,0.000089,0.321,3.21,0.68,6800,-0.55,-1.7,1.15,0.279,1896.668,4.300697012,29244.73968
JLA-JAK,1521,156,71,pm,8/17/23,predrought,14.62,46.73,43.15,7.19,0.09,90,6.26,0.006,0.113,0.000113,0.406,3.35,0.65,6500,-0.5,-1.97,1.47,0.276,1793.682,4.254891471,27656.79456
JLA-JAK,1521,156,74,pm,8/16/23,predrought,16.21,46.4,40.38,5.86,0.17,170,9.39,0.009,0.169,0.000169,0.608,2.92,0.64,6400,-0.28,-1.85,1.57,0.388,2480.395,5.975818913,38245.24105
JLA-JAK,1521,156,75,pm,8/16/23,predrought,15.8,46.28,42.64,6.88,0.07,70,4.78,0.005,0.086,0.000086,0.310,2.78,0.58,5800,-0.43,-2.12,1.69,0.183,1063.027,2.826003404,16390.81974
JLA-JAK,1521,157,67,pm,8/16/23,predrought,18.58,43.93,41.98,6.51,0.07,70,4.16,0.004,0.075,0.000075,0.270,2.46,0.65,6500,-0.82,-2.57,1.75,0.154,1001.253,2.375126639,15438.32315
JLA-JAK,1521,157,68,pm,8/16/23,predrought,17.59,44.87,41.63,6.37,0.09,90,5.25,0.005,0.095,0.000095,0.340,2.9,0.85,8500,-1.1,-2.12,1.02,0.334,2835.000,5.142693248,43712.89261
JLA-JAK,1521,157,72,pm,8/17/23,predrought,14.5,46.61,44.39,7.78,0.06,60,4.52,0.005,0.081,0.000081,0.293,1.89,1.52,15200,-1.18,-2.16,0.98,0.299,4542.877,4.608332935,70046.66062
JLA-JAK,1521,158,70,pm,8/16/23,predrought,16.46,46.26,42.22,6.63,0.09,90,5.43,0.005,0.098,0.000098,0.352,1.25,0.24,2400,-0.43,-1.88,1.45,0.243,582.396,3.74165134,8979.963216
JLA-JAK,1521,158,73,pm,8/16/23,predrought,16.09,46.34,41.45,6.32,0.09,90,5.55,0.006,0.100,0.000100,0.360,1.75,0.39,3900,-0.48,-1.98,1.5,0.240,935.064,3.696861775,14417.76092
JLA-JAK,1521,158,81,pm,8/16/23,predrought,16.53,46.23,42.88,6.9,0.07,70,4.64,0.005,0.084,0.000084,0.301,0.53,0.2,2000,-0.52,-2.28,1.76,0.171,341.673,2.634127555,5268.25511
NRV-NEW,666,101,1,pm,8/17/23,predrought,13.76,46.63,39.28,5.67,0.25,250,13.28,0.013,0.239,0.000239,0.861,5.47,1.21,12100,-0.39,-2.24,1.85,0.465,5628.423,7.172289901,86784.7078
NRV-NEW,666,101,2,pm,8/17/23,predrought,14,47.32,40.25,5.97,0.15,150,8.45,0.008,0.152,0.000152,0.548,6.42,1.41,14100,-0.99,-1.8,0.81,0.676,9531.600,10.42325058,146967.8332
NRV-NEW,666,101,3,pm,8/17/23,predrought,14.08,46.75,40.95,6.3,0.17,170,9.66,0.010,0.174,0.000174,0.626,5.07,1.03,10300,-0.73,-2.48,1.75,0.358,3684.269,5.515318108,56807.77651
NRV-NEW,666,105,7,pm,8/17/23,predrought,14.6,46.68,40.89,6.22,0.14,140,8.22,0.008,0.148,0.000148,0.533,3.34,0.91,9100,-0.59,-1.85,1.26,0.423,3846.960,6.518276232,59316.31371
NRV-NEW,666,105,8,pm,8/17/23,predrought,14.35,46.75,42.36,6.86,0.14,140,9,0.009,0.162,0.000162,0.583,2.64,0.69,6900,-0.52,-1.77,1.25,0.467,3219.264,7.193893184,49637.86297
NRV-NEW,666,105,9,pm,8/16/23,predrought,17.42,45.92,40.96,6.02,0.17,170,9.41,0.009,0.169,0.000169,0.610,5.01,1.09,10900,-0.51,-1.81,1.3,0.469,5112.670,7.232322101,78832.3109
NRV-NEW,666,118,10,pm,8/16/23,predrought,16.98,46.28,41.31,6.18,0.14,140,7.74,0.008,0.139,0.000139,0.502,3.56,1.00,10000,-0.42,-1.82,1.4,0.358,3582.514,5.523882266,55238.82266
NRV-NEW,666,118,11,pm,8/16/23,predrought,17.7,45.34,41.26,6.16,0.13,130,7.75,0.008,0.140,0.000140,0.502,3.32,0.91,9100,-0.39,-1.94,1.55,0.324,2948.400,4.995759156,45461.40832
NRV-NEW,666,118,12,pm,8/17/23,predrought,15.4,46.71,42.36,6.75,0.08,80,5.11,0.005,0.092,0.000092,0.331,1.61,0.5,5000,-0.35,-1.97,1.62,0.204,1022.000,3.151645591,15758.22795
NRV-NEW,666,122,16,pm,8/16/23,predrought,16.35,46.28,40.94,6.08,0.14,140,8.16,0.008,0.147,0.000147,0.529,7.05,2.21,22100,-0.42,-1.35,0.93,0.569,12565.347,8.76675155,193745.2093
NRV-NEW,666,122,17,pm,8/16/23,predrought,16.26,46.16,42.47,6.76,0.09,90,5.62,0.006,0.101,0.000101,0.364,4.82,1.19,11900,-0.66,-1.39,0.73,0.499,5936.568,7.692100398,91535.99474
NRV-NEW,666,122,18,pm,8/17/23,predrought,14.05,47.36,43.01,7.13,0.07,70,4.59,0.005,0.083,0.000083,0.297,7.37,1.96,19600,-0.75,-1.96,1.21,0.246,4817.907,3.790170996,74287.35152
NRV-NEW,666,123,19,pm,8/17/23,predrought,17.63,44.8,39.23,5.41,0.28,280,14.32,0.014,0.258,0.000258,0.928,6.06,1.55,15500,-0.55,-1.89,1.34,0.692,10733.588,10.67750315,165501.2988
NRV-NEW,666,123,20,pm,8/17/23,predrought,16.76,45.39,38.61,5.21,0.25,250,12.38,0.012,0.223,0.000223,0.802,5.82,2.02,20200,-1.38,-2.11,0.73,1.099,22198.527,16.94452009,342279.3059
NRV-NEW,666,123,22,pm,8/17/23,predrought,14.23,46.87,40.84,6.22,0.19,190,11.02,0.011,0.198,0.000198,0.714,4.78,1.58,15800,-0.69,-2.1,1.41,0.506,8001.927,7.808973886,123381.7874
