population,elevation,genotype,Replicate #,am.pm,date,treatment,rh (%),Tair (oC),Tleaf (oC),vpd (kPa),gsw.(mol m-2 s-1),gsw.(mmol m-2 s-1),E.(mmol m-2 s-1),E (mol m-2 s-1),E (g m-2 s-1),E (kg m-2 s-1),E (kg m-2 hr-1),Total leaf area (m2),Al:Ab (m2 cm-2),Al:Ab (m2 m-2),Ypd (MPa),Ymd (MPa),Delta Y (MPa),K (Kg hr-1 MPa-1 m-2) ,K (Kg hr-1 MPa-1 m-2) per BA,K (mmol s-1 MPa-1 m-2) per LA,K (mmol s-1 MPa-1 m-2) per BA
JLA-JAK,1521,155,66,pm,7/21/23,predrought,12.95,46.97,42.12,6.88,0.11,110,7.02,0.007,0.126,0.000126,0.455,3.21,0.68,6800,-0.63,-2.22,1.59,0.286,1945.467,4.411349594,29997.17724
JLA-JAK,1521,156,71,pm,7/20/23,predrought,11.45,47.48,44.15,7.93,0.07,70,5.32,0.005,0.096,0.000096,0.345,3.35,0.65,6500,-0.53,-1.89,1.36,0.253,1647.635,3.908446869,25404.90465
JLA-JAK,1521,156,74,pm,7/21/23,predrought,14.71,46.52,45.23,8.18,0.01,10,0.88,0.001,0.016,0.000016,0.057,2.92,0.64,6400,-0.58,-1.79,1.21,0.047,301.615,0.726655877,4650.597614
JLA-JAK,1521,156,75,pm,7/21/23,predrought,13.45,46.92,41.01,6.36,0.15,150,8.73,0.009,0.157,0.000157,0.566,2.78,0.58,5800,-0.19,-2.25,2.06,0.275,1592.759,4.234269653,24558.76399
JLA-JAK,1521,157,67,pm,7/21/23,predrought,16.57,45.22,40.03,5.78,0.16,160,9,0.009,0.162,0.000162,0.583,2.46,0.65,6500,-0.62,-2.06,1.44,0.405,2632.500,6.244698944,40590.54314
JLA-JAK,1521,157,68,pm,7/21/23,predrought,17.94,44.24,40.15,5.79,0.14,140,7.8,0.008,0.140,0.000140,0.505,2.90,0.85,8500,-0.95,-2.1,1.15,0.440,3735.861,6.776855898,57603.27513
JLA-JAK,1521,157,72,pm,7/20/23,predrought,11.8,46.27,42.64,7.28,0.09,90,6.33,0.006,0.114,0.000114,0.410,1.89,1.52,15200,-0.55,-2.14,1.59,0.258,3921.256,3.977755403,60461.88213
JLA-JAK,1521,158,70,pm,7/21/23,predrought,12.58,47.09,41.61,6.7,0.13,130,7.89,0.008,0.142,0.000142,0.511,1.25,0.24,2400,-0.54,-1.9,1.36,0.376,902.245,5.796549961,13911.71991
JLA-JAK,1521,158,73,pm,7/21/23,predrought,14.58,46.65,41.68,6.55,0.15,150,9.05,0.009,0.163,0.000163,0.586,1.75,0.39,3900,-0.5,-2.19,1.69,0.347,1353.323,5.350487616,20866.9017
JLA-JAK,1521,158,81,pm,7/21/23,predrought,11.99,47.03,43.39,7.54,0.07,70,4.98,0.005,0.090,0.000090,0.323,0.53,0.2,2000,-0.78,-2.31,1.53,0.211,421.835,3.252141254,6504.282508
NRV-NEW,666,101,1,pm,7/20/23,predrought,11.01,47.83,40.63,6.42,0.21,210,12.26,0.012,0.221,0.000221,0.794,5.47,1.21,12100,-0.39,-2.36,1.97,0.403,4879.604,6.218071802,75238.6688
NRV-NEW,666,101,2,pm,7/20/23,predrought,10.97,47.73,39.96,6.15,0.25,250,14.17,0.014,0.255,0.000255,0.918,6.42,1.41,14100,-0.33,-2.36,2.03,0.452,6377.756,6.974375097,98338.68887
NRV-NEW,666,101,3,pm,7/20/23,predrought,10.91,48.08,41.13,6.61,0.21,210,12.68,0.013,0.228,0.000228,0.822,5.07,1.03,10300,-0.38,-1.81,1.43,0.575,5918.279,8.859612041,91254.00402
NRV-NEW,666,105,7,pm,7/20/23,predrought,11.7,47.57,41.77,6.83,0.15,150,9.48,0.009,0.171,0.000171,0.614,3.34,0.91,9100,-0.48,-2.17,1.69,0.363,3307.791,5.60470968,51002.85809
NRV-NEW,666,105,8,pm,7/20/23,predrought,11.85,46.81,40.91,6.5,0.16,160,9.87,0.010,0.178,0.000178,0.640,2.64,0.69,6900,-0.51,-2.28,1.77,0.361,2493.262,5.571541567,38443.63681
NRV-NEW,666,105,9,pm,7/21/23,predrought,16.33,45.49,42.03,6.61,0.08,80,4.72,0.005,0.085,0.000085,0.306,5.01,1.09,10900,-0.97,-2.34,1.37,0.223,2433.453,3.442333316,37521.43314
NRV-NEW,666,118,10,pm,7/21/23,predrought,12.42,47.09,41.49,6.66,0.13,130,8.23,0.008,0.148,0.000148,0.533,3.56,1.00,10000,-0.43,-1.96,1.53,0.349,3485.647,5.374522595,53745.22595
NRV-NEW,666,118,11,pm,7/21/23,predrought,14.7,46.38,43.5,7.36,0.06,60,4.14,0.004,0.075,0.000075,0.268,3.32,0.91,9100,-0.77,-1.83,1.06,0.253,2303.090,3.902347718,35511.36423
NRV-NEW,666,118,12,pm,7/20/23,predrought,10.42,48,41.98,7.04,0.12,120,8.05,0.008,0.145,0.000145,0.522,1.61,0.5,5000,-0.44,-2.02,1.58,0.330,1650.759,5.090615342,25453.07671
NRV-NEW,666,122,16,pm,7/21/23,predrought,14.21,46.72,41.6,6.54,0.13,130,7.78,0.008,0.140,0.000140,0.504,7.05,2.21,22100,-0.51,-2.23,1.72,0.293,6477.664,4.519419329,99879.16717
NRV-NEW,666,122,17,pm,7/21/23,predrought,13.63,46.83,42.85,7.14,0.09,90,6.19,0.006,0.111,0.000111,0.401,4.82,1.19,11900,-0.41,-2.27,1.86,0.216,2566.254,3.32513432,39569.0984
NRV-NEW,666,122,18,pm,7/20/23,predrought,10.92,47.88,42.18,7.07,0.15,150,10.25,0.010,0.185,0.000185,0.664,7.37,1.96,19600,-0.37,-2.21,1.84,0.361,7075.174,5.56592732,109092.1755
NRV-NEW,666,123,19,pm,7/20/23,predrought,10.89,47.71,41.27,6.7,0.16,160,10.21,0.010,0.184,0.000184,0.662,6.06,1.55,15500,-0.4,-2.5,2.1,0.315,4883.297,4.857781046,75295.60621
NRV-NEW,666,123,20,pm,7/20/23,predrought,14.8,42.43,40.28,6.25,0.14,140,7.99,0.008,0.144,0.000144,0.518,5.82,2.02,20200,-0.37,-2.59,2.22,0.233,4711.077,3.596046455,72640.1384
NRV-NEW,666,123,22,pm,7/20/23,predrought,11.23,47.46,41.53,6.78,0.15,150,9.3,0.009,0.167,0.000167,0.603,4.78,1.58,15800,-0.78,-2.29,1.51,0.399,6305.770,6.153716576,97228.7219
TSZ-SAN,1212,3,29,pm,7/20/23,predrought,10.98,48.24,41.9,6.92,0.12,120,7.88,0.008,0.142,0.000142,0.511,8.68,2.32,23200,-0.74,-2.6,1.86,0.275,6369.074,4.232965822,98204.80707
TSZ-SAN,1212,3,30,pm,7/20/23,predrought,10.61,47.76,42.15,7.1,0.12,120,8.28,0.008,0.149,0.000149,0.537,7.00,2.43,24300,-0.47,-2.03,1.56,0.344,8357.705,5.303190488,128867.5289
TSZ-SAN,1212,3,31,pm,7/21/23,predrought,15.57,45.94,41.15,6.28,0.15,150,8.86,0.009,0.159,0.000159,0.574,6.14,1.8,18000,-0.76,-2.2,1.44,0.399,7176.600,6.147559183,110656.0653
TSZ-SAN,1212,4,32,pm,7/20/23,predrought,11.04,48.34,45.29,8.48,0.03,30,2.06,0.002,0.037,0.000037,0.133,6.68,1.44,14400,-0.38,-2.51,2.13,0.063,902.454,0.966315855,13914.94832
