year,julian-day,standard-time,solar,rain,wind,T-air,T-soil,D-MD,GW,E-MD,P-PD,P-MD,K-plant,leaftemp
2023,223,22,0.0,0.0,1.76,34.9025,34.150000000000034,4.1414242126450995,,,,,,32.982777777777784
2023,223,23,0.0,0.0,1.26,34.176,32.94,3.9562488048228297,,,,,,32.19833333333334
2023,224,0,0.0,3.16,0.25,33.4305,31.860000000000017,3.717686890554809,,,,,,31.28888888888889
2023,224,1,0.0,0.0,0.505,32.82,30.90000000000003,3.480431999332921,,,,,,30.752777777777776
2023,224,2,0.0,0.0,1.26,32.304,30.0,3.329918554647183,,,,,,29.799999999999997
2023,224,3,0.0,0.0,1.76,31.9445,29.170000000000016,3.4004951991550123,,,,,,30.08777777777778
2023,224,4,0.0,0.0,1.76,31.3575,28.430000000000007,3.2777013876652092,,,,,,29.119999999999997
2023,224,5,1.0940919037199124,0.0,0.505,29.9915,27.65000000000003,3.1186629489888382,,,,,,27.866666666666667
2023,224,6,30.908096280087527,3.16,1.005,30.4695,26.94,3.1355012026059357,,,,,,25.106111111111108
2023,224,7,89.98905908096279,0.0,1.76,31.6385,27.129999999999995,3.2768039364968744,,,,,,25.256666666666668
2023,224,8,194.47483588621444,0.0,1.76,33.4175,28.480000000000015,3.5063052042111083,,,,,,28.010555555555555
2023,224,9,315.6455142231947,0.0,1.51,35.0235,30.06,4.101634538002368,,,,,,29.416666666666668
2023,224,10,367.0678336980306,0.0,1.26,36.165,31.82000000000005,4.610755540373823,,,,,,30.533333333333335
2023,224,11,400.7111597374179,0.0,1.26,37.1515,33.700000000000045,4.951610511116858,,,,,,31.28388888888889
2023,224,12,400.437636761488,3.16,1.51,38.2685,35.52000000000004,5.274251222816026,,,,,,32.07722222222222
2023,224,13,377.7352297592998,0.0,1.51,39.574,37.22000000000003,5.755046649624383,,,,,,32.919444444444444
2023,224,14,329.59518599562364,0.0,1.51,40.2425,38.72000000000003,6.076228206384975,,,,,,34.16166666666666
2023,224,15,261.2144420131291,0.0,2.265,40.6745,39.82000000000005,6.282399554350022,,,,,,35.48722222222222
2023,224,16,181.61925601750545,0.0,2.77,40.3725,40.420000000000016,6.11463821556071,,,,,,36.30555555555556
2023,224,17,98.7417943107221,0.0,2.52,39.446,40.5,5.855516354146718,,,,,,34.74166666666667
2023,224,18,23.522975929978116,3.16,1.26,38.3955,40.120000000000005,5.544222712334918,,,,,,34.18888888888889
2023,224,19,0.2735229759299781,0.0,0.0,36.525,39.27000000000004,4.791297210440738,,,,,,32.58777777777778
2023,224,20,0.0,0.0,0.0,34.8375,37.57000000000005,4.246439191880031,,,,,,30.825000000000003
2023,224,21,0.0,0.0,1.01,35.0355,35.920000000000016,4.245303779794521,,,,,,30.413333333333338
2023,224,22,0.0,0.0,2.265,34.3605,34.460000000000036,3.948175531688637,,,,,,31.83277777777778
2023,224,23,0.0,0.0,1.76,32.9135,33.14000000000004,3.5964420354698334,,,,,,32.3
2023,225,0,0.0,3.16,0.755,31.4715,31.950000000000045,3.2043430922618725,,,,,,30.83611111111111
2023,225,1,0.0,0.0,0.5,31.344,30.890000000000043,3.1124595928547723,,,,,,29.38666666666667
2023,225,2,0.0,0.0,0.0,30.8115,29.90000000000003,2.959457879981096,,,,,,27.985555555555557
2023,225,3,0.0,0.0,0.0,29.853,28.99000000000001,2.738251343445986,,,,,,26.448333333333334
2023,225,4,0.0,0.0,0.0,28.7545,28.180000000000007,2.4831340724767728,,,,,,25.58
2023,225,5,1.3676148796498906,0.0,0.0,29.3895,27.390000000000043,2.547289662495985,,,,,,23.97722222222222
2023,225,6,52.78993435448577,3.16,0.505,31.691,26.69,2.924254806226806,,,,,,24.31
2023,225,7,143.05251641137855,0.0,1.01,32.8085,26.890000000000043,3.24414602483482,,,,,,26.878888888888888
2023,225,8,228.11816192560173,0.0,1.01,34.2945,28.25,3.682110011977678,,,,,,28.677222222222227
2023,225,9,312.9102844638949,0.0,1.01,35.8515,29.879999999999995,4.151694170043586,,,,,,30.157222222222224
2023,225,10,369.2560175054704,0.0,1.01,37.869,31.730000000000015,4.7730867458890165,,,,,,31.575000000000003
2023,225,11,393.5995623632385,0.0,1.26,38.3965,33.72000000000003,5.026310585671584,,,,,,32.50111111111111
2023,225,12,398.5229759299781,3.16,1.26,40.1725,35.68000000000001,5.7220704000512095,,,,,,33.755
2023,225,13,379.1028446389497,0.0,1.51,41.473,37.53000000000003,6.302080654378138,,,,,,34.888888888888886
2023,225,14,306.3457330415755,0.0,2.515,41.152,39.18000000000001,6.360936543011645,,,,,,36.17277777777778
2023,225,15,248.35886214442013,0.0,4.28,39.5755,40.420000000000016,5.921498028186433,,,,,,37.44777777777777
2023,225,16,93.27133479212252,0.0,3.02,39.2195,41.129999999999995,5.728230467690992,,,,,,37.24166666666667
2023,225,17,86.43326039387308,0.0,2.265,40.115,41.29000000000002,6.06110556877497,,,,,,34.73555555555556
2023,225,18,30.908096280087527,3.16,2.765,38.021,40.920000000000016,5.336920884055829,,,,,,35.92944444444444
2023,225,19,0.2735229759299781,0.0,1.76,36.4035,39.98000000000002,4.726114330422095,,,,,,34.34166666666667
2023,225,20,0.0,0.0,1.005,35.4355,38.08000000000004,4.42369059034974,,,,,,32.87555555555556
2023,225,21,0.0,0.0,0.25,34.876,36.26000000000005,4.280649181375952,,,,,,32.09833333333333
2023,225,22,0.0,0.0,0.0,33.0175,34.650000000000034,3.781251731270008,,,,,,30.326666666666668
2023,225,23,0.0,0.0,0.0,32.073,33.14000000000004,3.4324632272460187,,,,,,28.13
