year,julian-day,standard-time,leaftemp
2023,217,22,30.44388888888889
2023,217,23,31.778333333333332
2023,218,0,32.638333333333335
2023,218,1,32.69444444444444
2023,218,2,32.955000000000005
2023,218,3,32.68611111111111
2023,218,4,30.089444444444446
2023,218,5,25.58277777777778
2023,218,6,24.66611111111111
2023,218,7,27.823888888888888
2023,218,8,32.31888888888889
2023,218,9,35.15166666666667
2023,218,10,36.745
2023,218,11,37.76888888888889
2023,218,12,38.66222222222222
2023,218,13,39.74111111111111
2023,218,14,41.525555555555556
2023,218,15,42.89555555555555
2023,218,16,42.87555555555556
2023,218,17,42.46333333333334
2023,218,18,41.333888888888886
2023,218,19,39.135555555555555
2023,218,20,38.31888888888889
2023,218,21,37.98222222222222
2023,218,22,37.55
2023,218,23,36.757222222222225
2023,219,0,35.86888888888889
2023,219,1,34.97777777777778
2023,219,2,34.30611111111111
2023,219,3,33.169444444444444
2023,219,4,31.840555555555554
2023,219,5,31.075000000000003
2023,219,6,30.33611111111111
2023,219,7,31.397777777777776
2023,219,8,33.449444444444445
2023,219,9,35.455555555555556
2023,219,10,36.86944444444444
2023,219,11,37.73777777777778
2023,219,12,38.69722222222222
2023,219,13,39.89833333333333
2023,219,14,40.96166666666667
2023,219,15,41.235
2023,219,16,41.35277777777778
2023,219,17,40.86333333333333
2023,219,18,39.91555555555556
2023,219,19,38.36944444444444
2023,219,20,37.181666666666665
2023,219,21,36.97777777777778
2023,219,22,36.60055555555555
2023,219,23,36.24722222222223
2023,220,0,35.05277777777778
2023,220,1,34.19888888888889
2023,220,2,33.263888888888886
2023,220,3,31.946111111111108
2023,220,4,31.59333333333333
2023,220,5,30.143333333333334
2023,220,6,29.14611111111111
2023,220,7,25.542777777777776
2023,220,8,29.41944444444444
2023,220,9,32.925555555555555
2023,220,10,35.31166666666667
2023,220,11,36.58111111111111
2023,220,12,36.977222222222224
2023,220,13,38.714444444444446
2023,220,14,39.92388888888889
2023,220,15,40.555
2023,220,16,40.288333333333334
2023,220,17,40.12777777777777
2023,220,18,38.77333333333333
2023,220,19,36.92
2023,220,20,36.477222222222224
2023,220,21,33.199444444444445
2023,220,22,31.67
2023,220,23,30.69722222222222
2023,221,0,30.33666666666667
2023,221,1,30.313333333333333
2023,221,2,30.265
2023,221,3,29.762777777777778
2023,221,4,29.34111111111111
2023,221,5,28.84111111111111
2023,221,6,28.28611111111111
2023,221,7,29.39277777777778
2023,221,8,32.245555555555555
2023,221,9,34.87444444444444
2023,221,10,36.434999999999995
2023,221,11,37.11555555555556
2023,221,12,37.97277777777778
2023,221,13,39.425555555555555
2023,221,14,40.535
2023,221,15,40.89388888888889
2023,221,16,41.08722222222222
2023,221,17,40.835
2023,221,18,39.38111111111111
2023,221,19,37.23833333333333
2023,221,20,36.16333333333333
2023,221,21,35.614444444444445
2023,221,22,35.632222222222225
2023,221,23,35.31888888888889
2023,222,0,34.40166666666667
2023,222,1,34.47388888888889
2023,222,2,34.14055555555555
2023,222,3,32.62555555555556
2023,222,4,31.506666666666668
2023,222,5,30.15666666666667
2023,222,6,28.945555555555554
2023,222,7,29.953333333333333
2023,222,8,31.814999999999998
2023,222,9,33.71333333333334
2023,222,10,34.35388888888889
2023,222,11,35.55888888888889
2023,222,12,36.63111111111111
2023,222,13,37.61055555555556
2023,222,14,38.843333333333334
2023,222,15,39.53055555555555
2023,222,16,39.849999999999994
2023,222,17,39.522777777777776
2023,222,18,38.522777777777776
2023,222,19,36.81888888888889
2023,222,20,35.409444444444446
2023,222,21,35.59888888888889
2023,222,22,34.38111111111111
2023,222,23,33.153333333333336
2023,223,0,32.26111111111111
2023,223,1,31.23277777777778
2023,223,2,30.322777777777773
2023,223,3,28.686666666666667
2023,223,4,27.992222222222225
2023,223,5,26.633333333333333
2023,223,6,25.860555555555557
2023,223,7,26.658333333333335
2023,223,8,29.217777777777776
2023,223,9,31.205000000000002
2023,223,10,34.621111111111105
2023,223,11,35.21111111111111
2023,223,12,36.720555555555556
2023,223,13,37.94111111111111
2023,223,14,38.769444444444446
2023,223,15,39.12777777777777
2023,223,16,38.36666666666667
2023,223,17,35.590555555555554
2023,223,18,36.754444444444445
2023,223,19,35.69777777777777
2023,223,20,34.56166666666667
2023,223,21,33.75
2023,223,22,33.361111111111114
2023,223,23,32.56888888888889
2023,224,0,31.646666666666665
2023,224,1,30.748333333333335
2023,224,2,30.03277777777778
2023,224,3,29.991666666666667
2023,224,4,29.27722222222222
2023,224,5,27.730555555555554
2023,224,6,26.36111111111111
2023,224,7,26.685
2023,224,8,29.901666666666667
2023,224,9,32.44222222222223
2023,224,10,34.43
2023,224,11,35.62
2023,224,12,36.525000000000006
2023,224,13,37.32944444444444
2023,224,14,38.38055555555556
2023,224,15,39.43111111111111
2023,224,16,39.74
2023,224,17,39.028333333333336
2023,224,18,37.64555555555555
2023,224,19,34.202777777777776
2023,224,20,31.62111111111111
2023,224,21,30.73388888888889
2023,224,22,31.924999999999997
2023,224,23,32.42722222222222
2023,225,0,30.83777777777778
2023,225,1,29.460555555555555
2023,225,2,28.281666666666666
2023,225,3,26.370555555555555
2023,225,4,25.40777777777778
2023,225,5,24.39777777777778
2023,225,6,24.497777777777777
2023,225,7,27.91111111111111
2023,225,8,30.77111111111111
2023,225,9,33.382777777777775
2023,225,10,35.65833333333333
2023,225,11,37.11222222222222
2023,225,12,37.95722222222222
2023,225,13,39.36388888888889
2023,225,14,40.85388888888889
2023,225,15,41.84722222222222
2023,225,16,39.93388888888889
2023,225,17,37.57055555555556
2023,225,18,38.51444444444444
2023,225,19,35.49611111111111
2023,225,20,33.099999999999994
2023,225,21,32.43
2023,225,22,30.737777777777776
2023,225,23,28.485555555555557
2023,226,0,27.535
2023,226,1,26.88888888888889
2023,226,2,26.776666666666667
2023,226,3,26.907777777777778
2023,226,4,27.55777777777778
2023,226,5,27.631666666666668
2023,226,6,26.705555555555556
2023,226,7,26.50888888888889
2023,226,8,28.037222222222223
2023,226,9,29.89277777777778
2023,226,10,32.416111111111114
2023,226,11,35.625
2023,226,12,35.419999999999995
2023,226,13,35.73722222222222
