year,julian-day,standard-time,leaftemp
2023,208,15,38.08444444444444
2023,208,16,39.71333333333334
2023,208,17,39.04833333333333
2023,208,18,38.04388888888889
2023,208,19,37.65555555555555
2023,208,20,37.66833333333333
2023,208,21,37.34
2023,208,22,36.388333333333335
2023,208,23,34.349999999999994
2023,209,0,32.818333333333335
2023,209,1,31.789444444444445
2023,209,2,32.04944444444445
2023,209,3,30.808888888888887
2023,209,4,30.33611111111111
2023,209,5,28.56555555555556
2023,209,6,29.123333333333335
2023,209,7,30.060000000000002
2023,209,8,30.904999999999998
2023,209,9,30.81222222222222
2023,209,10,31.419999999999998
2023,209,11,34.08222222222222
2023,209,12,34.955555555555556
2023,209,13,36.46666666666667
2023,209,14,37.60666666666666
2023,209,15,39.041666666666664
2023,209,16,39.346666666666664
2023,209,17,38.413333333333334
2023,209,18,37.30555555555556
2023,209,19,36.56611111111111
2023,209,20,38.03055555555555
2023,209,21,36.638333333333335
2023,209,22,36.14722222222222
2023,209,23,34.111666666666665
2023,210,0,33.16444444444445
2023,210,1,32.415
2023,210,2,32.78277777777778
2023,210,3,31.08055555555556
2023,210,4,31.891666666666666
2023,210,5,31.645
2023,210,6,29.62166666666667
2023,210,7,28.790555555555557
2023,210,8,29.46111111111111
2023,210,9,31.883888888888887
2023,210,10,32.73888888888889
2023,210,11,34.836666666666666
2023,210,12,35.92444444444445
2023,210,13,37.02444444444444
2023,210,14,37.876666666666665
2023,210,15,38.894444444444446
2023,210,16,39.245
2023,210,17,37.635000000000005
2023,210,18,36.67333333333333
2023,210,19,36.611111111111114
2023,210,20,37.971111111111114
2023,210,21,38.18222222222222
2023,210,22,36.21277777777778
2023,210,23,36.22944444444445
2023,211,0,35.49388888888889
2023,211,1,35.59111111111111
2023,211,2,33.335
2023,211,3,33.253888888888895
2023,211,4,33.746111111111105
2023,211,5,32.412777777777784
2023,211,6,31.501666666666665
2023,211,7,30.438888888888886
2023,211,8,30.416666666666668
2023,211,9,32.495555555555555
2023,211,10,34.08722222222222
2023,211,11,32.80833333333333
2023,211,12,33.81777777777778
2023,211,13,35.062777777777775
2023,211,14,35.94166666666666
2023,211,15,35.80444444444444
2023,211,16,36.87722222222222
2023,211,17,36.53333333333333
2023,211,18,35.19055555555556
2023,211,19,35.13944444444444
2023,211,20,33.742222222222225
2023,211,21,34.797222222222224
2023,211,22,34.267222222222216
2023,211,23,32.81722222222223
2023,212,0,31.314444444444444
2023,212,1,25.015
2023,212,2,26.888333333333335
2023,212,3,26.279444444444444
2023,212,4,25.882777777777775
2023,212,5,25.34722222222222
2023,212,6,25.851666666666667
2023,212,7,27.607222222222223
2023,212,8,28.775000000000002
2023,212,9,30.201666666666668
2023,212,10,30.96722222222222
2023,212,11,31.58777777777778
2023,212,12,32.76722222222222
2023,212,13,33.562777777777775
2023,212,14,33.81166666666667
2023,212,15,34.544444444444444
2023,212,16,35.125
2023,212,17,34.218888888888884
2023,212,18,33.574444444444445
2023,212,19,33.62777777777777
2023,212,20,34.946666666666665
2023,212,21,34.80611111111111
2023,212,22,33.483333333333334
2023,212,23,30.577777777777776
2023,213,0,30.031111111111116
2023,213,1,28.141111111111112
2023,213,2,27.766111111111112
2023,213,3,27.185555555555553
2023,213,4,26.589444444444446
2023,213,5,25.90277777777778
2023,213,6,25.952777777777776
2023,213,7,27.745
2023,213,8,29.242222222222225
2023,213,9,30.643888888888892
2023,213,10,31.34222222222222
2023,213,11,32.18555555555556
2023,213,12,33.653333333333336
2023,213,13,34.48444444444445
2023,213,14,34.58833333333334
2023,213,15,34.73
2023,213,16,36.22222222222222
2023,213,17,35.555
2023,213,18,33.63055555555556
2023,213,19,33.64388888888889
2023,213,20,33.88111111111111
2023,213,21,32.583888888888886
2023,213,22,31.251666666666665
2023,213,23,32.63166666666667
2023,214,0,33.376666666666665
2023,214,1,32.94888888888889
2023,214,2,32.724444444444444
2023,214,3,32.04777777777778
2023,214,4,31.849444444444444
2023,214,5,30.97555555555555
2023,214,6,28.5
2023,214,7,29.013333333333335
2023,214,8,30.90888888888889
2023,214,9,32.12277777777778
2023,214,10,32.99611111111111
2023,214,11,32.718888888888884
2023,214,12,34.43888888888889
2023,214,13,34.52666666666667
2023,214,14,36.97555555555556
2023,214,15,36.43611111111111
2023,214,16,36.91888888888889
